,state_po,county,cor_pred,Repnum_x,Demnum_x,Repnum_y,Demnum_y
156,IL,Coles,4,3,1,3,1
157,SD,Brown,4,3,1,3,1
158,IL,Cass,4,3,1,3,1
159,IL,Bureau,4,3,1,3,1
160,IL,Boone,4,3,1,3,1
161,SD,Corson,4,2,2,2,2
162,SD,Day,4,2,2,2,2
163,ID,Teton,4,3,1,3,1
164,IL,Mason,4,3,1,3,1
165,IL,McHenry,4,3,1,3,1
166,NH,Sullivan,4,2,2,2,2
167,IL,McLean,4,3,1,3,1
168,OR,Jackson,4,3,1,3,1
169,OR,Clackamas,4,2,2,2,2
170,OR,Marion,4,3,1,3,1
171,IN,Perry,4,2,2,2,2
172,OR,Wasco,4,3,1,3,1
173,PA,Berks,4,3,1,3,1
174,IN,Spencer,4,3,1,3,1
175,PA,Centre,4,2,2,2,2
176,IN,Starke,4,3,1,3,1
177,IN,Tippecanoe,4,3,1,3,1
178,PA,Dauphin,4,2,2,2,2
179,PA,Elk,4,3,1,3,1
180,IN,Vanderburgh,4,3,1,3,1
181,IL,Winnebago,4,2,2,2,2
182,IL,Will,4,2,2,2,2
183,IL,Vermilion,4,3,1,3,1
184,PA,Monroe,4,2,2,2,2
185,IL,Stephenson,4,3,1,3,1
186,IL,Schuyler,4,3,1,3,1
187,IL,Sangamon,4,3,1,3,1
188,KS,Crawford,4,3,1,3,1
189,ID,Latah,4,2,2,2,2
190,OH,Lake,4,3,1,3,1
191,SD,Lake,4,3,1,3,1
192,SD,Miner,4,3,1,3,1
193,IA,Delaware,4,3,1,3,1
194,IA,Crawford,4,3,1,3,1
195,NY,Dutchess,4,2,2,2,2
196,NY,Chemung,4,3,1,3,1
197,IA,Cedar,4,2,2,2,2
198,NY,Chautauqua,4,3,1,3,1
199,IA,Carroll,4,3,1,3,1
200,NV,Washoe,4,2,2,2,2
201,VA,Henrico,4,2,2,2,2
202,IA,Adams,4,3,1,3,1
203,TX,Bexar,4,2,2,2,2
204,TX,Brewster,4,3,1,3,1
205,NV,Carson City,4,3,1,3,1
206,NM,Sandoval,4,2,2,2,2
207,NM,Luna,4,3,1,3,1
208,NM,Los Alamos,4,2,2,2,2
209,NM,Colfax,4,2,2,2,2
210,GA,Sumter,4,2,2,2,2
211,NJ,Somerset,4,2,2,2,2
212,NJ,Salem,4,2,2,2,2
213,GA,Rockdale,4,2,2,2,2
214,KY,Hancock,4,3,1,3,1
215,IA,Emmet,4,3,1,3,1
216,IA,Fayette,4,2,2,2,2
217,IA,Palo Alto,4,3,1,3,1
218,SD,Minnehaha,4,3,1,3,1
219,SD,Moody,4,3,1,3,1
220,SD,Roberts,4,2,2,2,2
221,OH,Hamilton,4,2,2,2,2
222,IA,Woodbury,4,3,1,3,1
223,IA,Winneshiek,4,2,2,2,2
224,SD,Ziebach,4,2,2,2,2
225,IA,Warren,4,3,1,3,1
226,IA,Poweshiek,4,2,2,2,2
227,NY,Seneca,4,2,2,2,2
228,IA,Franklin,4,3,1,3,1
229,IA,Louisa,4,2,2,2,2
230,IA,Kossuth,4,3,1,3,1
231,IA,Jefferson,4,2,2,2,2
232,IA,Jasper,4,2,2,2,2
233,IA,Iowa,4,3,1,3,1
234,KY,Fayette,4,2,2,2,2
235,NY,Ontario,4,3,1,3,1
236,IA,Hardin,4,3,1,3,1
237,IA,Hamilton,4,3,1,3,1
238,VA,Harrisonburg,4,2,2,2,2
239,IN,Madison,4,3,1,3,1
240,MT,Lewis and Clark,4,3,1,3,1
241,AK,District 26,4,3,1,3,1
242,WI,Jefferson,4,3,1,3,1
243,WI,Barron,4,3,1,3,1
244,MN,Polk,4,3,1,3,1
245,WI,Washburn,4,3,1,3,1
246,WI,Brown,4,3,1,3,1
247,MS,Warren,4,3,1,3,1
248,VA,Radford,4,2,2,2,2
249,MN,Pennington,4,3,1,3,1
250,WI,Burnett,4,3,1,3,1
251,VA,Prince William,4,2,2,2,2
252,MS,Pike,4,2,2,2,2
253,CA,Butte,4,3,1,3,1
254,NC,Buncombe,4,2,2,2,2
255,MN,Washington,4,2,2,2,2
256,MN,Olmsted,4,2,2,2,2
257,AK,District 25,4,3,1,3,1
258,WI,Calumet,4,3,1,3,1
259,AK,District 23,4,3,1,3,1
260,MS,Yazoo,4,2,2,2,2
261,MN,Norman,4,2,2,2,2
262,AK,District 22,4,3,1,3,1
263,MN,Nicollet,4,2,2,2,2
264,WI,Chippewa,4,3,1,3,1
265,CA,Fresno,4,2,2,2,2
266,MN,Pope,4,3,1,3,1
267,WA,Island,4,2,2,2,2
268,MN,Red Lake,4,3,1,3,1
269,AK,District 31,4,3,1,3,1
270,MO,Iron,4,3,1,3,1
271,MN,Watonwan,4,3,1,3,1
272,WA,Clark,4,2,2,2,2
273,WY,Albany,4,3,1,3,1
274,MT,Rosebud,4,3,1,3,1
275,AK,District 39,4,2,2,2,2
276,AK,District 38,4,2,2,2,2
277,MN,Stevens,4,3,1,3,1
278,AK,District 36,4,3,1,3,1
279,AL,Jefferson,4,2,2,2,2
280,VA,Winchester,4,2,2,2,2
281,MN,Yellow Medicine,4,3,1,3,1
282,WI,Wood,4,3,1,3,1
283,WI,Waushara,4,3,1,3,1
284,WA,Skagit,4,2,2,2,2
285,WA,Skamania,4,3,1,3,1
286,WA,Wahkiakum,4,3,1,3,1
287,VA,Staunton,4,2,2,2,2
288,MS,Copiah,4,2,2,2,2
289,MS,Oktibbeha,4,2,2,2,2
290,MT,Lake,4,3,1,3,1
291,WI,Waupaca,4,3,1,3,1
292,AK,District 32,4,3,1,3,1
293,MN,Murray,4,3,1,3,1
294,NC,Bladen,4,2,2,2,2
295,WI,Clark,4,3,1,3,1
296,CA,Riverside,4,2,2,2,2
297,WI,Outagamie,4,3,1,3,1
298,WI,Oneida,4,3,1,3,1
299,AK,District 15,4,3,1,3,1
300,WI,Oconto,4,3,1,3,1
301,VA,Loudoun,4,2,2,2,2
302,WV,Jefferson,4,3,1,3,1
303,WV,Monongalia,4,3,1,3,1
304,MN,Koochiching,4,2,2,2,2
305,WI,Marinette,4,3,1,3,1
306,VA,King and Queen,4,3,1,3,1
307,MN,Kittson,4,2,2,2,2
308,MT,Cascade,4,3,1,3,1
309,WI,Marathon,4,3,1,3,1
310,CA,San Bernardino,4,2,2,2,2
311,WI,Manitowoc,4,3,1,3,1
312,CA,San Diego,4,2,2,2,2
313,WI,Langlade,4,3,1,3,1
314,CA,San Joaquin,4,2,2,2,2
315,CA,San Luis Obispo,4,2,2,2,2
316,MS,Panola,4,2,2,2,2
317,WI,Kewaunee,4,3,1,3,1
318,VA,Hopewell,4,2,2,2,2
319,CA,Merced,4,2,2,2,2
320,WI,Monroe,4,3,1,3,1
321,AK,District 8,4,3,1,3,1
322,WI,Rusk,4,3,1,3,1
323,VA,Nelson,4,2,2,2,2
324,MN,Marshall,4,3,1,3,1
325,WI,Price,4,2,2,2,2
326,MN,Mahnomen,4,2,2,2,2
327,NC,Caswell,4,3,1,3,1
328,WI,Columbia,4,2,2,2,2
329,WA,Klickitat,4,3,1,3,1
330,WI,Shawano,4,3,1,3,1
331,VA,Manassas,4,2,2,2,2
332,VA,Manassas Park,4,2,2,2,2
333,OH,Geauga,3,3,0,3,0
334,OH,Gallia,3,3,0,3,0
335,OH,Logan,3,3,0,3,0
336,OH,Fulton,3,3,0,3,0
337,OH,Fayette,3,3,0,3,0
338,OH,Muskingum,3,3,0,3,0
339,OH,Fairfield,3,3,0,3,0
340,OH,Lawrence,3,3,0,3,0
341,OH,Licking,3,3,0,3,0
342,MS,Smith,3,3,0,3,0
343,OH,Noble,3,3,0,3,0
344,OH,Guernsey,3,3,0,3,0
345,OH,Defiance,3,3,0,3,0
346,MS,Perry,3,3,0,3,0
347,OH,Delaware,3,3,0,3,0
348,MS,Stone,3,3,0,3,0
349,OH,Erie,3,1,2,1,2
350,OH,Greene,3,3,0,3,0
351,OH,Hocking,3,3,0,3,0
352,MS,Simpson,3,3,0,3,0
353,OH,Madison,3,3,0,3,0
354,OH,Highland,3,3,0,3,0
355,OH,Mercer,3,3,0,3,0
356,OH,Holmes,3,3,0,3,0
357,OH,Miami,3,3,0,3,0
358,OH,Henry,3,3,0,3,0
359,MS,Pontotoc,3,3,0,3,0
360,OH,Medina,3,3,0,3,0
361,MS,Prentiss,3,3,0,3,0
362,OH,Montgomery,3,1,2,1,2
363,OH,Huron,3,3,0,3,0
364,OH,Morgan,3,3,0,3,0
365,OH,Jackson,3,3,0,3,0
366,MS,Rankin,3,3,0,3,0
367,MS,Pearl River,3,3,0,3,0
368,OH,Harrison,3,3,0,3,0
369,OH,Hardin,3,3,0,3,0
370,OH,Marion,3,3,0,3,0
371,OH,Knox,3,3,0,3,0
372,OH,Morrow,3,3,0,3,0
373,OH,Meigs,3,3,0,3,0
374,MS,Scott,3,3,0,3,0
375,OH,Hancock,3,3,0,3,0
376,NC,Davie,3,3,0,3,0
377,MS,Tate,3,3,0,3,0
378,MS,Walthall,3,3,0,3,0
379,NY,Rensselaer,3,1,2,1,2
380,NY,Putnam,3,3,0,3,0
381,MS,Wayne,3,3,0,3,0
382,MS,Webster,3,3,0,3,0
383,MS,Winston,3,3,0,3,0
384,MT,Beaverhead,3,3,0,3,0
385,NY,Orleans,3,3,0,3,0
386,MT,Broadwater,3,3,0,3,0
387,NY,Oneida,3,3,0,3,0
388,NY,Niagara,3,1,2,1,2
389,MT,Carbon,3,3,0,3,0
390,NY,Montgomery,3,2,1,2,1
391,MT,Carter,3,3,0,3,0
392,NY,Livingston,3,3,0,3,0
393,NY,Lewis,3,3,0,3,0
394,NY,Jefferson,3,3,0,3,0
395,NY,Herkimer,3,3,0,3,0
396,NY,Hamilton,3,3,0,3,0
397,NY,Greene,3,3,0,3,0
398,NY,Genesee,3,3,0,3,0
399,NY,Fulton,3,3,0,3,0
400,NY,Franklin,3,1,2,1,2
401,NY,Delaware,3,3,0,3,0
402,NY,Chenango,3,3,0,3,0
403,MT,Chouteau,3,3,0,3,0
404,NY,Richmond,3,2,1,2,1
405,NY,Schoharie,3,3,0,3,0
406,OH,Darke,3,3,0,3,0
407,NY,Schuyler,3,3,0,3,0
408,OH,Crawford,3,3,0,3,0
409,MS,Tippah,3,3,0,3,0
410,OH,Coshocton,3,3,0,3,0
411,OH,Columbiana,3,3,0,3,0
412,OH,Clinton,3,3,0,3,0
413,OH,Clermont,3,3,0,3,0
414,OH,Champaign,3,3,0,3,0
415,OH,Carroll,3,3,0,3,0
416,OH,Butler,3,3,0,3,0
417,OH,Brown,3,3,0,3,0
418,OH,Auglaize,3,3,0,3,0
419,OH,Ashtabula,3,1,2,1,2
420,OH,Ashland,3,3,0,3,0
421,OH,Allen,3,3,0,3,0
422,MS,Tishomingo,3,3,0,3,0
423,OH,Adams,3,3,0,3,0
424,NY,Yates,3,3,0,3,0
425,NY,Wyoming,3,3,0,3,0
426,NY,Wayne,3,3,0,3,0
427,NY,Tioga,3,3,0,3,0
428,NY,Sullivan,3,1,2,1,2
429,NY,Suffolk,3,1,2,1,2
430,NY,Steuben,3,3,0,3,0
431,NY,St. Lawrence,3,1,2,1,2
432,MS,Union,3,3,0,3,0
433,OH,Paulding,3,3,0,3,0
434,OH,Van Wert,3,3,0,3,0
435,OH,Perry,3,3,0,3,0
436,OK,Noble,3,3,0,3,0
437,OK,Mayes,3,3,0,3,0
438,OK,McClain,3,3,0,3,0
439,OK,McCurtain,3,3,0,3,0
440,MS,Carroll,3,3,0,3,0
441,OK,Murray,3,3,0,3,0
442,MS,Calhoun,3,3,0,3,0
443,OK,Nowata,3,3,0,3,0
444,OK,Pontotoc,3,3,0,3,0
445,OK,Okfuskee,3,3,0,3,0
446,OK,Oklahoma,3,3,0,3,0
447,OK,Osage,3,3,0,3,0
448,MS,Attala,3,3,0,3,0
449,OK,Pawnee,3,3,0,3,0
450,OK,Payne,3,3,0,3,0
451,OK,Marshall,3,3,0,3,0
452,MS,Choctaw,3,3,0,3,0
453,OK,Major,3,3,0,3,0
454,MS,Clarke,3,3,0,3,0
455,OK,Love,3,3,0,3,0
456,OK,Logan,3,3,0,3,0
457,OK,Lincoln,3,3,0,3,0
458,OK,Le Flore,3,3,0,3,0
459,OK,Kiowa,3,3,0,3,0
460,MS,Covington,3,3,0,3,0
461,OK,Kingfisher,3,3,0,3,0
462,OK,Kay,3,3,0,3,0
463,OK,Johnston,3,3,0,3,0
464,OK,Jefferson,3,3,0,3,0
465,OK,Jackson,3,3,0,3,0
466,OK,Harper,3,3,0,3,0
467,OK,Harmon,3,3,0,3,0
468,OK,Pittsburg,3,3,0,3,0
469,OK,Pottawatomie,3,3,0,3,0
470,OH,Pickaway,3,3,0,3,0
471,MO,Texas,3,3,0,3,0
472,MO,Warren,3,3,0,3,0
473,OK,Washita,3,3,0,3,0
474,OK,Woods,3,3,0,3,0
475,OK,Woodward,3,3,0,3,0
